,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
220,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,1.4kg,931.88
250,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,985
265,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.8kg,1142
281,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Linux,2.8kg,1099
320,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.33kg,844
347,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,899
355,Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,1.9kg,663
361,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.02kg,970.9
372,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.8kg,1085
433,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.02kg,1142.4
448,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,749
461,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.36kg,979
474,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.02kg,759
520,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,1219.24
531,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Linux,2.8kg,889
543,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,797.41
565,HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6GB,128GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,1.91kg,568.9
598,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,512GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,949
629,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,776
664,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,919
665,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,1135
675,HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.1kg,745
707,HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.1kg,689
709,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,399
717,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.71kg,655.01
734,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,719
996,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,6GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,549
1108,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,1.4kg,818.35
1240,HP,15-bw009nv (A12-9720P/6GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 2.7GHz,6GB,1TB HDD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.1kg,529
1258,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,6GB,256GB SSD,AMD Radeon R9 270X  DirectX 12.00,Windows 10,2.2kg,597.57
780,Samsung,Notebook 9,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R9 280  DirectX 12.00,Windows 10,1.71kg,1799
4,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon R9 280X  DirectX 12.00,macOS,1.83kg,2537.45
13,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon R9 285  DirectX 12.00,macOS,1.83kg,2439.97
18,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon R9 290  DirectX 12.00,macOS,1.83kg,2858
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R9 290X  DirectX 12.00,No OS,1.86kg,258
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R9 290X  DirectX 12.00,Windows 10,1.65kg,199
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R9 290X  DirectX 12.00,Windows 10,2.1kg,349
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,1366x768,AMD E-Series 6110 1.5GHz,4GB,64GB SSD,AMD Radeon R9 290X  DirectX 12.00,Windows 10 S,1.65kg,277.99
236,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R9 290X  DirectX 12.00,Windows 10,2.1kg,330
551,Asus,VivoBook X540YA-XX519T,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R9 380  DirectX 12.00,Windows 10,2kg,349
681,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,AMD Radeon R9 380  DirectX 12.00,Windows 10,2.2kg,349
1169,HP,15-BA015wm (E2-7110/4GB/500GB/W10),Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R9 380  DirectX 12.00,Windows 10,1.86kg,297
1225,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD E-Series 9000 2.2GHz,4GB,500GB HDD,AMD Radeon R9 380  DirectX 12.00,Windows 10,2.2kg,299
900,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A4-Series 7210 2.2GHz,4GB,500GB HDD,AMD Radeon R9 380X  DirectX 12.00,Windows 10,2.8kg,379
725,Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD A6-Series 7310 2.0GHz,4GB,500GB HDD,AMD Radeon R9 390  DirectX 12.00,Windows 10,2.19kg,298
447,Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8GB,1TB HDD,AMD Radeon R9 390  DirectX 12.00,Windows 10,2.8kg,519
1123,HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,1TB HDD,AMD Radeon R9 390  DirectX 12.00,Windows 10,2.1kg,398
53,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R9 390X  DirectX 12.00,Windows 10,1.86kg,398.49
147,HP,255 G6,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R9 390X  DirectX 12.00,Windows 10,1.86kg,369
176,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4GB,500GB HDD,AMD Radeon R9 390X  DirectX 12.00,No OS,2.2kg,309
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R9 390X  DirectX 12.00,Windows 10,1.91kg,445.9
1269,HP,255 G6,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon R9 390X  DirectX 12.00,Windows 10,1.86kg,399
6,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,500GB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.1kg,400
86,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,1TB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.1kg,395
127,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,256GB SSD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.1kg,451
377,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,128GB SSD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.1kg,426
381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3.0GHz,4GB,256GB SSD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,1.91kg,488.99
649,HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17,1600x900,AMD A9-Series 9420 3.0GHz,8GB,1TB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.6kg,520.9
1045,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,6GB,1TB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.1kg,409
318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.23kg,469
379,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.6kg,489
1071,Acer,Aspire ES1-523,Notebook,15.6,1366x768,AMD A8-Series 7410 2.2GHz,8GB,1TB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.4kg,449
1104,Acer,Aspire ES1-523,Notebook,15.6,1366x768,AMD A8-Series 7410 2.2GHz,4GB,500GB HDD,AMD Radeon R9 Fury  DirectX 12.00,Windows 10,2.4kg,387
303,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R9 Fury X  DirectX 12.00,Windows 10,2.4kg,499
691,HP,17-bs000nv I3,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,256GB SSD,AMD Radeon R9 Nano  DirectX 12.00,Windows 10,2.5kg,699
1126,Dell,Vostro 3559,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,AMD Radeon RX 460  DirectX 12.00,Windows 7,2.24kg,769.15
1090,Lenovo,IdeaPad 300-17ISK,Notebook,17.3,1600x900,Intel Core i5 6200U 2.3GHz,8GB,1.0TB HDD,AMD Radeon RX 470  DirectX 12.00,Windows 10,3.0kg,659
1170,Lenovo,B51-80 (i5-6200U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,1TB HDD,AMD Radeon RX 470  DirectX 12.00,No OS,2.32kg,599
1176,Lenovo,B51-80 (i5-6200U/8GB/1008GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,1.0TB Hybrid,AMD Radeon RX 470  DirectX 12.00,Windows 10,2.5kg,788.49
1276,Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,1.0TB Hybrid,AMD Radeon RX 470  DirectX 12.00,Windows 7,2.32kg,895
1291,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,6GB,1TB HDD,AMD Radeon RX 470  DirectX 12.00,Windows 10,2.19kg,764
1305,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,6GB,1TB HDD,AMD Radeon RX 470  DirectX 12.00,Windows 10,2.19kg,764
1319,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,6GB,1TB HDD,AMD Radeon RX 470  DirectX 12.00,Windows 10,2.19kg,764
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,1TB HDD,AMD Radeon RX 480  DirectX 12.00,Windows 10,2.03kg,403
257,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3.0GHz,4GB,1TB HDD,AMD Radeon RX 480  DirectX 12.00,Windows 10,1.68kg,469
623,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,AMD Radeon RX 480  DirectX 12.00,Linux,2.18kg,569
566,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 480  DirectX 12.00,Windows 10,2.18kg,617.9
611,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 480  DirectX 12.00,Linux,2.18kg,465
823,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon RX 480  DirectX 12.00,Windows 10,2.18kg,789.81
855,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,AMD Radeon RX 480  DirectX 12.00,Windows 10,2.18kg,739
934,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,AMD Radeon RX 480  DirectX 12.00,Windows 10,2.18kg,684.99
808,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,8GB,256GB SSD,AMD Radeon RX 550  DirectX 12.00,Windows 10,2kg,739
897,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 550  DirectX 12.00,Linux,2.18kg,455.7
910,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 550  DirectX 12.00,Windows 10,2.18kg,614
17,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.2kg,745
49,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.3kg,639
98,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon RX 5500  DirectX 12.00,Linux,2.2kg,599.9
14,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,256GB SSD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.2kg,498.9
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.2kg,575
269,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.24kg,565
286,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 5500  DirectX 12.00,Linux,2.25kg,428
99,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,256GB SSD,AMD Radeon RX 5500  DirectX 12.00,Linux,2.2kg,485
134,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon RX 5500  DirectX 12.00,Windows 10,2.2kg,449
422,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon RX 5500  DirectX 12.00,Linux,2.3kg,598.9
